epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.504,1.77,2.15084,1.29736,0.68265,0.47179,0.49684,0.27799,1.5162,3.03954,1.70756,0.000332211,0.000332211,0.000332211
2,255.61,1.54002,1.31672,1.16943,0.76564,0.50668,0.56914,0.3229,1.50467,2.32733,1.66907,0.000533767,0.000533767,0.000533767
3,367.034,1.4451,1.13377,1.12534,0.65881,0.62252,0.65967,0.38349,1.38769,1.84538,1.57512,0.000603322,0.000603322,0.000603322
4,526.084,1.35675,1.02135,1.09486,0.69934,0.67103,0.7135,0.42554,1.31382,1.66205,1.51545,0.000406,0.000406,0.000406
5,629.322,1.26678,0.92713,1.06336,0.79932,0.70789,0.78034,0.49832,1.23409,1.38733,1.454,0.000208,0.000208,0.000208
