experiment_id,date,dataset_version,model,image_size,batch_size,epochs,learning_rate,augmentation,precision,recall,map50,map50_95,training_time_sec,device,parameters,weights_path,notes
EXP-01,2026-09-10 14:25:39,Standard_Cleaned_Pool,yolov8n,640,16,5,0.01,Standard Default,0.6909,0.6584,0.7194,0.4645,1114.64,0,3006818,C:\Users\karth\OneDrive\Desktop\ai ware house\models\baseline\weights\best.pt,Baseline fine-tuning of YOLOv8n on raw proportional cleaned warehouse dataset
EXP-02,2026-09-10 14:38:52,Curated_Class_Balanced,yolov8n,640,16,5,0.01,Standard Default,0.7987,0.7101,0.7807,0.4986,701.99,0,3157200,C:\Users\karth\OneDrive\Desktop\ai ware house\models\experiments\exp2_balanced\weights\best.pt,Fine-tuning on curated balanced dataset addressing 1000:1 carton/pallet imbalance
EXP-03,2026-09-10 14:50:45,Curated_Class_Balanced,yolov8n,640,16,5,0.01,Warehouse Domain Augmentations (HSV/Perspective/Mosaic),0.7795,0.654,0.7445,0.4615,633.8,0,3157200,C:\Users\karth\OneDrive\Desktop\ai ware house\models\experiments\exp3_augmented\weights\best.pt,"Fine-tuning with warehouse-specific augmentations (lighting, angles, horizontal-only flips)"
EXP-04,2026-09-10 15:06:46,Curated_Class_Balanced,yolov8s,640,8,5,0.01,Warehouse Domain Augmentations,0.8127,0.7243,0.8116,0.5046,859.78,0,11166560,C:\Users\karth\OneDrive\Desktop\ai ware house\models\final\weights\best.pt,Architecture scale comparison: YOLOv8s (11.2M params) vs YOLOv8n (3.2M params)
