epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.909,1.73418,1.6222,1.33299,0.48087,0.47201,0.49014,0.26872,1.68802,2.02226,1.90468,0.000332772,0.000332772,0.000332772
2,316.676,1.5575,1.16965,1.23295,0.72853,0.47564,0.57791,0.31515,1.61326,1.84921,1.85038,0.000534217,0.000534217,0.000534217
3,475.747,1.50241,1.0887,1.21084,0.67305,0.63691,0.66645,0.39559,1.47508,1.50108,1.69614,0.000603661,0.000603661,0.000603661
4,630.566,1.40762,0.97442,1.16085,0.7043,0.67693,0.72289,0.43585,1.40342,1.34775,1.62914,0.000406,0.000406,0.000406
5,791.139,1.31844,0.87756,1.12158,0.81118,0.7253,0.81116,0.50404,1.31455,1.11622,1.5448,0.000208,0.000208,0.000208
