epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.47,1.92605,2.22042,1.37653,0.69763,0.44056,0.48955,0.25544,1.68298,2.85231,1.80957,0.000332211,0.000332211,0.000332211
2,228.549,1.69025,1.38483,1.23472,0.75178,0.49695,0.56243,0.31007,1.57583,2.20331,1.73271,0.000533767,0.000533767,0.000533767
3,342.055,1.61265,1.24414,1.20475,0.78455,0.51558,0.59458,0.33604,1.54295,2.07541,1.70061,0.000603322,0.000603322,0.000603322
4,452.468,1.51619,1.13178,1.1681,0.65496,0.69976,0.71246,0.41154,1.45882,1.65048,1.61389,0.000406,0.000406,0.000406
5,567.795,1.45575,1.03448,1.13206,0.77895,0.65471,0.74395,0.46102,1.35245,1.44438,1.51947,0.000208,0.000208,0.000208
