epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.469,1.54131,1.70407,1.1667,0.71458,0.43869,0.48232,0.29935,1.38927,2.32554,1.60917,0.000332623,0.000332623,0.000332623
2,676.927,1.25415,0.96524,1.04061,0.72586,0.48665,0.52784,0.31816,1.39679,1.93773,1.60025,0.000611015,0.000611015,0.000611015
3,827.464,1.11983,0.80762,1.00094,0.77833,0.54354,0.6414,0.39616,1.27645,1.45118,1.50472,0.000834407,0.000834407,0.000834407
4,962.39,1.03793,0.70752,0.9718,0.71772,0.59882,0.65923,0.41389,1.23432,1.56636,1.47607,0.0007525,0.0007525,0.0007525
5,1114.64,0.99121,0.65834,0.95945,0.68864,0.66049,0.71869,0.46379,1.23411,1.16312,1.48252,0.00067,0.00067,0.00067
